PUF_ID,sample,fed_poverty,fwb_score,fwb1_handle_expense,fwb2_secure_future,fwb3_things_i_want,fwb4_enjoy_life,fwb5_just_getting_by,fwb6_worried_savings,fwb2_1_gift_strain,fwb2_2_money_left,fwb2_3_behind_finances,fwb2_4_control_life,fin_skill_score,housing_own_rent,house_cost_range,savings_range,have_account,have_health_ins,have_retire_acct,have_pension,payday_loan,pawn_car_title_loan,check_cashing,disrespect_fin_services,hardship_food_worried,hardship_food_ran_out,hardship_housing,hardship_healthcare,hardship_medicine,hardship_utilities,rejected_credit,could_access_2000,shock_lost_job,shock_foreclosure,health,age_category,generation,education,ethnicity,gender,household_size,household_income,marital_status,MSA_status,final_weight
13180,General population,200%+ FPL,78,Completely,Completely,Not at all,Completely,Completely,Not at all,Never,Always,Never,Never,66,I rent,$500-749,"$20,000-74,999",Yes,Yes,No,No,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Excellent,18-24,Millennial,Some college/Associate,"White, Non-Hispanic",Male,5+,"$60,000 to $74,999",Married,Metro,0.93791212
10127,General population,200%+ FPL,62,Very well,Somewhat,Very little,Completely,Very little,Very little,Rarely,Often,Rarely,Rarely,57,I own my home,"$1,000-1,499","$75,000 or more",Yes,Yes,No,Yes,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Excellent,62-69,Boomer,Bachelors degree,"White, Non-Hispanic",Female,2,"$100,000 to $149,999",Married,Non-Metro,0.745163109
7852,General population,100%-199% FPL,50,Somewhat,Very well,Somewhat,Somewhat,Very well,Somewhat,Sometimes,Often,Rarely,Sometimes,49,I do not currently own or rent,Prefer not to say,"$1,000-4,999",Yes,No,No,No,No,No,No,Rarely,Never,Never,Never,Never,Sometimes,Never,No,"I could probably come up with $2,000",No,No,Very good,18-24,Millennial,Some college/Associate,"White, Non-Hispanic",Female,4,"$30,000 to $39,999",Never married,Metro,1.292576341
7376,General population,200%+ FPL,40,Very little,Very little,Very well,Very little,Very well,Very well,Often,Rarely,Rarely,Often,30,I do not currently own or rent,Less than $300,0,Yes,No,No,No,No,No,No,Never,Never,Never,Never,Never,Never,Never,No,"I am certain I could not come up with $2,000",No,No,Very good,25-34,Millennial,Bachelors degree,"White, Non-Hispanic",Male,3,"$150,000 or more",Never married,Metro,1.140933621
8304,General population,200%+ FPL,61,Completely,Very well,Very little,Completely,Very little,Somewhat,Never,Often,Rarely,Sometimes,71,I own my home,"$2,000 or more","$75,000 or more",Yes,Yes,Yes,No,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,25-34,Millennial,Graduate/professional degree,"White, Non-Hispanic",Male,3,"$150,000 or more",Married,Metro,0.810600276
11726,General population,<100% FPL,69,Very well,Very well,Not at all,Very well,Not at all,Not at all,Rarely,Always,Never,Sometimes,48,I rent,Less than $300,"$5,000-19,999",Yes,No,No,No,No,No,No,Never,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,25-34,Millennial,Less than high school,Hispanic,Male,5+,"$20,000 to $29,999",Living with partner,Metro,4.283984654
11221,General population,<100% FPL,37,Not at all,Not at all,Very well,Not at all,Completely,Very well,Often,Never,Never,Often,32,I do not currently own or rent,Prefer not to say,$1-99,Yes,No,No,No,No,No,No,Sometimes,Often,Often,Never,Never,Never,Sometimes,Yes,"I am certain I could not come up with $2,000",No,No,Very good,18-24,Millennial,High school degree/GED,"White, Non-Hispanic",Male,5+,"Less than $20,000",Never married,Metro,1.025191714
8121,General population,200%+ FPL,52,Somewhat,Somewhat,Very little,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Rarely,Sometimes,40,I rent,$750-999,$100-999,Yes,Yes,No,No,No,No,No,Rarely,Never,Never,Never,Sometimes,Never,Never,No,"I could probably come up with $2,000",No,No,Good,18-24,Millennial,Some college/Associate,"White, Non-Hispanic",Female,2,"$30,000 to $39,999",Married,Metro,1.045180517
8122,General population,200%+ FPL,69,Very well,Very well,Somewhat,Very well,Not at all,Somewhat,Never,Always,Never,Rarely,50,I own my home,Less than $300,"$75,000 or more",Yes,Yes,Yes,Yes,No,No,No,Sometimes,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,70-74,Pre-Boomer,Graduate/professional degree,"White, Non-Hispanic",Male,2,"$150,000 or more",Married,Metro,0.49505347
12990,Age 62+ oversample,100%-199% FPL,67,Very little,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Rarely,Sometimes,Never,Never,79,I own my home,Prefer not to say,Prefer not to say,No,Yes,No,Yes,No,No,No,Never,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Fair,62-69,Boomer,High school degree/GED,"Black, Non-Hispanic",Female,1,"$20,000 to $29,999",Divorced/Separated,Metro,0.866999434
10548,General population,200%+ FPL,40,Very little,Very little,Very little,Very little,Very well,Completely,Sometimes,Rarely,Often,Always,38,I own my home,"$1,500-1,999","$5,000-19,999",Yes,Yes,Yes,No,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Very good,35-44,Gen X,Some college/Associate,"White, Non-Hispanic",Female,2,"$100,000 to $149,999",Married,Metro,1.301506535
13389,General population,200%+ FPL,51,Very little,Somewhat,Very little,Somewhat,Somewhat,Very little,Sometimes,Sometimes,Sometimes,Sometimes,41,I own my home,"$1,000-1,499","$20,000-74,999",Yes,No,Yes,Yes,No,No,No,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,No,"I could probably come up with $2,000",No,No,Fair,45-54,Gen X,Bachelors degree,"Other, Non-Hispanic",Male,5+,"$60,000 to $74,999",Married,Metro,1.163320887
10351,Age 62+ oversample,200%+ FPL,61,Somewhat,Somewhat,Very little,Somewhat,Somewhat,Somewhat,Rarely,Often,Never,Rarely,54,I own my home,"$1,500-1,999","$20,000-74,999",Yes,Yes,Yes,No,No,No,No,Never,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,62-69,Boomer,Graduate/professional degree,"Other, Non-Hispanic",Male,1,"$100,000 to $149,999",Living with partner,Metro,0.450493754
13255,General population,200%+ FPL,37,Very little,Not at all,Somewhat,Somewhat,Very well,Completely,Often,Never,Often,Often,49,I rent,"$1,000-1,499",$100-999,Yes,Yes,No,No,No,No,No,Sometimes,Sometimes,Sometimes,Never,Often,Often,Sometimes,Yes,"I could probably not come up with $2,000",Yes,No,Good,25-34,Millennial,Some college/Associate,"White, Non-Hispanic",Female,2,"$40,000 to $49,999",Living with partner,Metro,1.044339167
7853,General population,200%+ FPL,47,Very well,Completely,Completely,Very well,Completely,Completely,Never,Always,Never,Always,75,I rent,$750-999,Prefer not to say,No,No,No,No,No,No,No,Sometimes,Never,Never,Never,Never,Never,Never,No,I dont know,No,No,Excellent,35-44,Gen X,Some college/Associate,"Black, Non-Hispanic",Female,1,"$100,000 to $149,999",Never married,Non-Metro,1.572803725
12675,General population,200%+ FPL,64,Somewhat,Very well,Somewhat,Very well,Not at all,Somewhat,Never,Often,Never,Always,68,I rent,"$1,000-1,499","$20,000-74,999",No,Yes,No,Yes,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,75+,Pre-Boomer,Bachelors degree,Hispanic,Male,5+,"$75,000 to $99,999",Married,Metro,0.369339629
11353,General population,200%+ FPL,80,Completely,Very well,Not at all,Very well,Completely,Not at all,Never,Always,Never,Never,51,I own my home,Less than $300,"$75,000 or more",Yes,Yes,Yes,Yes,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,75+,Pre-Boomer,High school degree/GED,"White, Non-Hispanic",Male,1,"$100,000 to $149,999",Married,Metro,0.389242114
9433,General population,200%+ FPL,63,Completely,Very well,Very little,Very well,Not at all,Somewhat,Rarely,Always,Never,Sometimes,50,I rent,"$1,000-1,499","$20,000-74,999",Yes,No,Yes,No,No,No,No,Never,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,45-54,Boomer,Some college/Associate,"Black, Non-Hispanic",Male,2,"$75,000 to $99,999",Married,Metro,0.828111179
12518,General population,200%+ FPL,52,Very well,Somewhat,Somewhat,Somewhat,Somewhat,Very well,Rarely,Sometimes,Rarely,Sometimes,61,I own my home,"$1,000-1,499","$5,000-19,999",Yes,Yes,Yes,No,No,No,No,Never,Never,Never,Never,Never,Often,Never,No,"I am certain I could come up with the full $2,000",No,No,Very good,55-61,Boomer,High school degree/GED,"White, Non-Hispanic",Female,2,"$60,000 to $74,999",Married,Metro,1.089344504
10549,General population,200%+ FPL,62,Very well,Somewhat,Not at all,Somewhat,Very little,Somewhat,Rarely,Always,Rarely,Sometimes,48,I own my home,Prefer not to say,"$20,000-74,999",Yes,Yes,Yes,No,No,No,No,Never,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,75+,Pre-Boomer,High school degree/GED,"White, Non-Hispanic",Female,2,"$60,000 to $74,999",Married,Metro,0.616246171
8518,General population,<100% FPL,40,Very little,Very little,Very well,Very little,Very well,Very well,Often,Rarely,Rarely,Often,31,I do not currently own or rent,Less than $300,Prefer not to say,No,No,No,No,No,No,No,Never,Sometimes,Never,Never,Never,Never,Never,No,I dont know,No,No,Good,35-44,Gen X,High school degree/GED,"White, Non-Hispanic",Male,2,"Less than $20,000",Never married,Non-Metro,1.038446872
11727,General population,<100% FPL,33,Very little,Very little,Completely,Very little,Completely,Very well,Always,Rarely,Rarely,Often,35,I own my home,Prefer not to say,0,Yes,Yes,No,No,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could not come up with $2,000",No,No,Fair,35-44,Gen X,High school degree/GED,"White, Non-Hispanic",Male,4,"$20,000 to $29,999",Married,Metro,1.010167726
10911,General population,200%+ FPL,45,Very little,Very little,Very well,Somewhat,Very little,Completely,Sometimes,Often,Rarely,Always,42,I rent,"$1,000-1,499","$1,000-4,999",Yes,Yes,Yes,No,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I could probably not come up with $2,000",No,No,Very good,25-34,Millennial,Some college/Associate,"White, Non-Hispanic",Male,2,"$75,000 to $99,999",Living with partner,Metro,1.515506993
8945,General population,100%-199% FPL,33,Not at all,Very little,Somewhat,Very little,Not at all,Completely,Always,Never,Often,Always,37,I rent,Less than $300,0,No,No,No,No,No,No,No,Never,Sometimes,Sometimes,Never,Never,Never,Never,No,"I could probably not come up with $2,000",Yes,No,Very good,25-34,Millennial,High school degree/GED,"Black, Non-Hispanic",Female,4,"$30,000 to $39,999",Never married,Metro,1.49569506
11354,General population,<100% FPL,54,Somewhat,Very well,Very little,Very well,Very little,Somewhat,Rarely,Often,Sometimes,Often,51,I rent,"$1,000-1,499","$1,000-4,999",Yes,Yes,No,No,No,No,Yes,Rarely,Never,Never,Often,Never,Never,Never,No,"I could probably come up with $2,000",No,No,Very good,18-24,Millennial,Some college/Associate,Hispanic,Male,5+,"Less than $20,000",Never married,Metro,0.639515234
12162,General population,200%+ FPL,39,Not at all,Somewhat,Somewhat,Very little,Completely,Somewhat,Always,Never,Sometimes,Sometimes,28,I rent,"$1,500-1,999",I dont know,Yes,Yes,Yes,No,No,No,No,Sometimes,Never,Never,Never,Never,Sometimes,Never,No,"I am certain I could not come up with $2,000",No,No,Good,25-34,Millennial,Graduate/professional degree,"White, Non-Hispanic",Female,2,"$100,000 to $149,999",Living with partner,Metro,0.790106185
7854,General population,200%+ FPL,56,Somewhat,Somewhat,Somewhat,Very well,Very well,Somewhat,Never,Always,Rarely,Sometimes,50,I own my home,Less than $300,0,Yes,No,No,No,No,No,No,Never,Never,Never,Never,Never,Never,Never,No,"I could probably come up with $2,000",No,No,Very good,35-44,Gen X,High school degree/GED,"White, Non-Hispanic",Male,3,"$60,000 to $74,999",Divorced/Separated,Metro,1.327560712
11080,General population,100%-199% FPL,38,Not at all,Very little,Somewhat,Somewhat,Completely,Completely,Often,Never,Sometimes,Sometimes,43,I own my home,$750-999,$1-99,No,No,No,No,No,No,No,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Never,Yes,"I am certain I could not come up with $2,000",No,No,Very good,55-61,Boomer,Some college/Associate,"Black, Non-Hispanic",Male,2,"$20,000 to $29,999",Married,Metro,0.698364428
10757,General population,200%+ FPL,77,Very well,Very well,Not at all,Completely,Not at all,Very little,Never,Always,Never,Rarely,57,I own my home,Less than $300,"$75,000 or more",Yes,Yes,Yes,Yes,No,No,No,Never,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Very good,62-69,Boomer,Some college/Associate,"White, Non-Hispanic",Male,2,"$150,000 or more",Married,Metro,0.641699029
10758,General population,200%+ FPL,57,Very well,Completely,Somewhat,Completely,Very little,Very little,Rarely,Always,Rarely,Often,76,I own my home,$750-999,"$5,000-19,999",Yes,Yes,Yes,Yes,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Very good,45-54,Gen X,Graduate/professional degree,"White, Non-Hispanic",Male,5+,"$100,000 to $149,999",Married,Metro,0.576822756
10128,Age 62+ oversample,200%+ FPL,71,Completely,Completely,Very little,Very well,Very little,Very little,Never,Often,Never,Rarely,61,I own my home,"$2,000 or more","$20,000-74,999",Yes,Yes,No,Yes,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Very good,62-69,Boomer,Some college/Associate,"White, Non-Hispanic",Female,2,"$150,000 or more",Married,Metro,0.632409533
12639,General population,200%+ FPL,76,Somewhat,Very well,Refused,Very well,Refused,Refused,Never,Always,Never,Never,70,I own my home,"$2,000 or more","$75,000 or more",Yes,Yes,Yes,No,No,No,No,Sometimes,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Very good,18-24,Millennial,Graduate/professional degree,"White, Non-Hispanic",Female,2,"$30,000 to $39,999",Never married,Metro,0.419506525
14399,General population,200%+ FPL,52,Very little,Somewhat,Very little,Somewhat,Somewhat,Somewhat,Often,Rarely,Never,Sometimes,60,I own my home,Less than $300,"$75,000 or more",Yes,Yes,Yes,Yes,No,No,No,Rarely,Never,Never,Never,Never,Sometimes,Never,Yes,"I am certain I could come up with the full $2,000",No,No,Good,62-69,Boomer,Some college/Associate,"Other, Non-Hispanic",Female,2,"$75,000 to $99,999",Divorced/Separated,Metro,0.548648574
10352,General population,100%-199% FPL,51,Very little,Very little,Somewhat,Somewhat,Very well,Very well,Rarely,Often,Rarely,Sometimes,39,I do not currently own or rent,$500-749,"$5,000-19,999",Yes,Yes,Yes,No,No,No,Yes,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,25-34,Millennial,Bachelors degree,"White, Non-Hispanic",Female,4,"$30,000 to $39,999",Never married,Metro,0.940052336
12163,General population,200%+ FPL,30,Somewhat,Not at all,Very well,Very little,Completely,Completely,Often,Rarely,Always,Always,61,I own my home,"$1,500-1,999","$1,000-4,999",No,Yes,No,No,No,No,No,Never,Sometimes,Never,Never,Never,Sometimes,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,45-54,Gen X,Bachelors degree,"White, Non-Hispanic",Male,2,"$50,000 to $59,999",Married,Metro,0.603385559
10353,General population,200%+ FPL,60,Very little,Somewhat,Very little,Somewhat,Somewhat,Somewhat,Rarely,Always,Never,Rarely,40,I do not currently own or rent,$750-999,Prefer not to say,Yes,Yes,No,No,No,No,No,Never,Never,Never,Often,Never,Never,Never,No,"I am certain I could not come up with $2,000",No,No,Very good,25-34,Millennial,High school degree/GED,"White, Non-Hispanic",Male,3,"$40,000 to $49,999",Never married,Metro,1.435735745
12676,Age 62+ oversample,100%-199% FPL,34,Not at all,Somewhat,Completely,Somewhat,Completely,Completely,Often,Sometimes,Often,Often,60,I own my home,"$1,000-1,499","$1,000-4,999",Yes,Yes,No,No,No,No,No,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,No,"I am certain I could come up with the full $2,000",No,No,Very good,62-69,Boomer,Some college/Associate,"White, Non-Hispanic",Male,1,"$20,000 to $29,999",Divorced/Separated,Metro,0.801111927
8305,Age 62+ oversample,200%+ FPL,76,Completely,Completely,Not at all,Completely,Completely,Not at all,Never,Often,Never,Rarely,55,I own my home,I dont know,Prefer not to say,Yes,Yes,Yes,Yes,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,75+,Pre-Boomer,Graduate/professional degree,"White, Non-Hispanic",Male,2,"$100,000 to $149,999",Married,Metro,0.242529597
9182,General population,200%+ FPL,50,Somewhat,Somewhat,Somewhat,Very well,Very well,Very well,Sometimes,Often,Rarely,Sometimes,43,I own my home,Prefer not to say,Prefer not to say,Yes,Yes,No,No,No,No,No,Never,Never,Never,Never,Never,Never,Never,No,"I could probably come up with $2,000",No,No,Fair,62-69,Boomer,High school degree/GED,"White, Non-Hispanic",Female,2,"$40,000 to $49,999",Married,Metro,0.64730059
8946,General population,200%+ FPL,47,Very little,Very little,Somewhat,Somewhat,Somewhat,Very well,Sometimes,Sometimes,Rarely,Often,43,I own my home,$750-999,"$1,000-4,999",Yes,Yes,Yes,Yes,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,45-54,Boomer,Some college/Associate,"White, Non-Hispanic",Female,3,"$60,000 to $74,999",Married,Non-Metro,1.392180551
14079,General population,<100% FPL,37,Not at all,Not at all,Very well,Very little,Somewhat,Very well,Sometimes,Rarely,Always,Always,27,I rent,"$1,000-1,499",$1-99,Yes,Yes,No,No,Yes,No,No,Often,Sometimes,Often,Never,Never,Never,Sometimes,Yes,"I am certain I could not come up with $2,000",No,No,Good,25-34,Millennial,Bachelors degree,Hispanic,Male,5+,"$30,000 to $39,999",Divorced/Separated,Metro,0.401878393
13243,General population,200%+ FPL,71,Very well,Very well,Not at all,Very well,Very little,Very little,Never,Always,Never,Rarely,64,I own my home,"$2,000 or more","$20,000-74,999",Yes,Yes,Yes,Yes,No,No,No,Often,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,55-61,Boomer,High school degree/GED,"White, Non-Hispanic",Male,2,"$100,000 to $149,999",Divorced/Separated,Metro,1.137652528
9183,General population,200%+ FPL,47,Very little,Very little,Somewhat,Somewhat,Somewhat,Somewhat,Often,Rarely,Rarely,Sometimes,49,I own my home,"$1,000-1,499","$5,000-19,999",Yes,No,No,No,No,No,No,Sometimes,Never,Never,Never,Often,Sometimes,Never,No,"I could probably come up with $2,000",No,No,Very good,25-34,Millennial,Some college/Associate,Hispanic,Male,3,"$60,000 to $74,999",Never married,Metro,1.204676585
12560,General population,200%+ FPL,43,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Often,Rarely,Always,Sometimes,55,I rent,"$2,000 or more",$100-999,Yes,Yes,Yes,No,No,No,No,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Never,No,I dont know,No,No,Good,45-54,Boomer,Graduate/professional degree,Hispanic,Female,5+,"$150,000 or more",Married,Metro,0.997541025
11222,General population,200%+ FPL,50,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Sometimes,Sometimes,41,I own my home,"$2,000 or more",Prefer not to say,Yes,Yes,Yes,No,No,No,No,Sometimes,Never,Never,Never,Never,Never,Never,No,"I could probably come up with $2,000",No,No,Good,62-69,Boomer,Some college/Associate,Hispanic,Female,2,"$30,000 to $39,999",Married,Metro,0.364615053
11081,General population,200%+ FPL,59,Very well,Completely,Very little,Very well,Completely,Somewhat,Rarely,Always,Rarely,Sometimes,53,I own my home,$300-499,"$5,000-19,999",Yes,Yes,Yes,Yes,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Good,70-74,Boomer,Graduate/professional degree,"White, Non-Hispanic",Female,1,"$50,000 to $59,999",Never married,Metro,0.436351468
8947,General population,200%+ FPL,61,Very well,Very well,Very little,Very well,Very little,Very little,Rarely,Often,Rarely,Rarely,56,I rent,"$1,000-1,499","$75,000 or more",Yes,Yes,Yes,No,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Excellent,35-44,Gen X,Graduate/professional degree,"White, Non-Hispanic",Male,5+,"$75,000 to $99,999",Married,Metro,0.423707039
8306,General population,200%+ FPL,69,Very well,Completely,Not at all,Completely,Very little,Very little,Never,Often,Rarely,Never,64,I own my home,"$2,000 or more","$5,000-19,999",Yes,Yes,Yes,No,No,No,No,Never,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Very good,55-61,Boomer,Graduate/professional degree,"White, Non-Hispanic",Male,2,"$150,000 or more",Married,Metro,0.6553046
9915,General population,200%+ FPL,70,Very well,Very well,Not at all,Very well,Not at all,Very little,Never,Sometimes,Never,Sometimes,58,I own my home,"$2,000 or more","$5,000-19,999",Yes,Yes,Yes,No,No,No,Yes,Never,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Excellent,45-54,Gen X,Bachelors degree,"Other, Non-Hispanic",Female,3,"$150,000 or more",Married,Non-Metro,3.826266112
8712,General population,200%+ FPL,42,Not at all,Somewhat,Somewhat,Very well,Very little,Very well,Always,Sometimes,Sometimes,Often,45,I rent,$300-499,"$1,000-4,999",Yes,Yes,Yes,No,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could not come up with $2,000",No,No,Fair,25-34,Millennial,High school degree/GED,"White, Non-Hispanic",Female,4,"$75,000 to $99,999",Living with partner,Metro,1.547242254
12710,General population,200%+ FPL,73,Completely,Very well,Very little,Very well,Not at all,Very little,Never,Always,Never,Rarely,53,I own my home,Less than $300,"$20,000-74,999",Yes,No,Yes,Yes,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Very good,62-69,Boomer,Some college/Associate,"White, Non-Hispanic",Male,2,"$75,000 to $99,999",Married,Metro,0.495238484
10129,General population,200%+ FPL,62,Very well,Very well,Very little,Completely,Very well,Very little,Never,Often,Rarely,Sometimes,55,I own my home,"$2,000 or more","$75,000 or more",Yes,Yes,Yes,Yes,No,No,No,Rarely,Never,Never,Never,Never,Never,Never,No,"I am certain I could come up with the full $2,000",No,No,Very good,62-69,Boomer,Graduate/professional degree,"White, Non-Hispanic",Male,5+,"$150,000 or more",Married,Metro,0.49505347
