PUF_ID,fwb2_2_money_left,savings_range,have_account,have_health_ins,payday_loan,pawn_car_title_loan,disrespect_fin_services,hardship_food_ran_out,hardship_housing,rejected_credit,could_access_2000,health,generation,education,ethnicity,household_income,final_weight
8947,Often,"$75,000 or more",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Excellent,Gen X,Graduate/professional degree,"White, Non-Hispanic","$75,000 to $99,999",0.423707039
8306,Often,"$5,000-19,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Boomer,Graduate/professional degree,"White, Non-Hispanic","$150,000 or more",0.6553046
9915,Sometimes,"$5,000-19,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Excellent,Gen X,Bachelors degree,"Other, Non-Hispanic","$150,000 or more",3.826266112
8712,Sometimes,"$1,000-4,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could not come up with $2,000",Fair,Millennial,High school degree/GED,"White, Non-Hispanic","$75,000 to $99,999",1.547242254
12710,Always,"$20,000-74,999",Yes,No,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Boomer,Some college/Associate,"White, Non-Hispanic","$75,000 to $99,999",0.495238484
10129,Often,"$75,000 or more",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Boomer,Graduate/professional degree,"White, Non-Hispanic","$150,000 or more",0.49505347
11082,Always,Prefer not to say,Yes,No,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Boomer,Graduate/professional degree,"White, Non-Hispanic","$75,000 to $99,999",0.455829022
12298,Often,"$20,000-74,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Gen X,Bachelors degree,"White, Non-Hispanic","$60,000 to $74,999",0.603385559
10759,Sometimes,"$75,000 or more",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Excellent,Gen X,Graduate/professional degree,"White, Non-Hispanic","$100,000 to $149,999",0.448713643
9184,Sometimes,"$1,000-4,999",Yes,Yes,No,No,Sometimes,Sometimes,Sometimes,No,"I could probably not come up with $2,000",Very good,Boomer,Some college/Associate,"White, Non-Hispanic","$150,000 or more",1.612493263
8713,Sometimes,"$75,000 or more",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Pre-Boomer,Graduate/professional degree,"White, Non-Hispanic","$60,000 to $74,999",0.684493809
9434,Sometimes,"$5,000-19,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Boomer,High school degree/GED,"White, Non-Hispanic","$50,000 to $59,999",1.853997418
10912,Sometimes,"$20,000-74,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Boomer,High school degree/GED,"Black, Non-Hispanic","$60,000 to $74,999",0.722908109
10130,Rarely,"$5,000-19,999",Yes,Yes,No,No,Sometimes,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Boomer,High school degree/GED,"White, Non-Hispanic","$150,000 or more",0.784031581
8308,Always,Prefer not to say,Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Excellent,Gen X,Some college/Associate,"White, Non-Hispanic","$30,000 to $39,999",0.715695805
10550,Sometimes,"$75,000 or more",Yes,No,No,No,Sometimes,Never,Never,No,"I could probably come up with $2,000",Fair,Boomer,Some college/Associate,Hispanic,"$50,000 to $59,999",0.279866573
8714,Often,"$20,000-74,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Gen X,Graduate/professional degree,"White, Non-Hispanic","$100,000 to $149,999",0.936859292
7314,Always,"$5,000-19,999",Yes,Yes,No,No,Sometimes,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Gen X,Some college/Associate,"White, Non-Hispanic","$100,000 to $149,999",1.53169583
14099,Often,"$20,000-74,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Boomer,Graduate/professional degree,"White, Non-Hispanic","$150,000 or more",0.478042815
7315,Sometimes,"$20,000-74,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Millennial,Bachelors degree,"White, Non-Hispanic","$150,000 or more",1.331200207
12751,Rarely,$1-99,Yes,Yes,Yes,Yes,Sometimes,Often,Sometimes,Yes,"I am certain I could not come up with $2,000",Poor,Millennial,Less than high school,Hispanic,"$30,000 to $39,999",1.9034095
11499,Sometimes,"$1,000-4,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Boomer,Bachelors degree,"White, Non-Hispanic","$150,000 or more",0.986328867
8309,Never,Prefer not to say,Yes,Yes,No,No,Rarely,Never,Never,No,I dont know,Fair,Boomer,Some college/Associate,"White, Non-Hispanic","$40,000 to $49,999",0.597089469
8948,Always,"$75,000 or more",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Pre-Boomer,Bachelors degree,"White, Non-Hispanic","$150,000 or more",0.739390977
11223,Always,"$20,000-74,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Gen X,Bachelors degree,"White, Non-Hispanic","$100,000 to $149,999",0.721637537
14078,Often,"$75,000 or more",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Pre-Boomer,Bachelors degree,"White, Non-Hispanic","$75,000 to $99,999",0.520903606
10551,Rarely,"$5,000-19,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Excellent,Boomer,Graduate/professional degree,"White, Non-Hispanic","$150,000 or more",0.995267991
7994,Often,"$1,000-4,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Excellent,Millennial,Bachelors degree,"White, Non-Hispanic","$60,000 to $74,999",0.548739943
8949,Often,"$75,000 or more",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Boomer,Graduate/professional degree,"White, Non-Hispanic","$100,000 to $149,999",0.566148814
7995,Always,$1-99,Yes,No,No,No,Sometimes,Sometimes,Sometimes,Yes,"I could probably not come up with $2,000",Very good,Gen X,High school degree/GED,"White, Non-Hispanic","Less than $20,000",0.921602178
10552,Sometimes,"$5,000-19,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Pre-Boomer,High school degree/GED,"White, Non-Hispanic","$100,000 to $149,999",0.42878676
11224,Always,"$5,000-19,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Pre-Boomer,Graduate/professional degree,"White, Non-Hispanic","$150,000 or more",0.282244018
8519,Sometimes,"$5,000-19,999",Yes,No,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Boomer,Bachelors degree,"White, Non-Hispanic","$100,000 to $149,999",0.604178083
7225,Always,"$75,000 or more",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Excellent,Gen X,Bachelors degree,"White, Non-Hispanic","$150,000 or more",2.587932876
9916,Often,Prefer not to say,Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Pre-Boomer,Bachelors degree,"White, Non-Hispanic","$40,000 to $49,999",0.637269085
11225,Often,"$75,000 or more",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Fair,Millennial,Graduate/professional degree,"White, Non-Hispanic","$150,000 or more",0.944791046
10131,Sometimes,Refused,No,Yes,No,No,Sometimes,Never,Never,No,"I could probably come up with $2,000",Very good,Boomer,High school degree/GED,"White, Non-Hispanic","$50,000 to $59,999",1.853997418
9435,Always,"$75,000 or more",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Pre-Boomer,High school degree/GED,"White, Non-Hispanic","$30,000 to $39,999",0.658213626
8715,Always,"$5,000-19,999",Yes,No,No,No,Rarely,Never,Never,No,"I could probably come up with $2,000",Good,Gen X,Graduate/professional degree,Hispanic,"$150,000 or more",0.887860607
11226,Always,Prefer not to say,Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Pre-Boomer,High school degree/GED,"White, Non-Hispanic","$20,000 to $29,999",1.070733697
13232,Always,"$20,000-74,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Boomer,Bachelors degree,"White, Non-Hispanic","$100,000 to $149,999",0.646888632
11925,Rarely,I dont know,No,Yes,No,No,Rarely,Never,Never,No,"I could probably not come up with $2,000",Very good,Gen X,Graduate/professional degree,"White, Non-Hispanic","$100,000 to $149,999",0.995635521
8310,Always,"$20,000-74,999",No,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Excellent,Millennial,Graduate/professional degree,"White, Non-Hispanic","$100,000 to $149,999",1.015863003
11831,Often,Prefer not to say,Yes,Yes,No,No,Never,Never,Never,No,I dont know,Very good,Millennial,High school degree/GED,"White, Non-Hispanic","$60,000 to $74,999",1.152545296
9436,Never,0,Yes,Yes,No,No,Sometimes,Never,Sometimes,Yes,"I could probably not come up with $2,000",Good,Boomer,Some college/Associate,"White, Non-Hispanic","$40,000 to $49,999",0.600580774
12015,Often,"$20,000-74,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Boomer,Some college/Associate,"White, Non-Hispanic","$50,000 to $59,999",0.474631666
12780,Always,"$5,000-19,999",Yes,Yes,No,No,Sometimes,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Boomer,Graduate/professional degree,"White, Non-Hispanic","$150,000 or more",0.44650487
8950,Always,"$5,000-19,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Excellent,Boomer,Graduate/professional degree,"White, Non-Hispanic","$60,000 to $74,999",0.641719488
11227,Rarely,$100-999,Yes,Yes,No,No,Sometimes,Often,Never,No,"I am certain I could not come up with $2,000",Fair,Boomer,Some college/Associate,"White, Non-Hispanic","Less than $20,000",0.844247831
9437,Often,"$5,000-19,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Gen X,Graduate/professional degree,"White, Non-Hispanic","$150,000 or more",1.4191465
10554,Sometimes,"$5,000-19,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Boomer,Some college/Associate,"White, Non-Hispanic","$75,000 to $99,999",0.740365495
10132,Sometimes,"$20,000-74,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Boomer,High school degree/GED,Hispanic,"$75,000 to $99,999",1.516278416
11083,Never,0,No,Yes,No,No,Rarely,Often,Never,Yes,"I am certain I could not come up with $2,000",Fair,Boomer,Less than high school,"White, Non-Hispanic","$20,000 to $29,999",1.116787793
7380,Always,"$5,000-19,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Millennial,Graduate/professional degree,"White, Non-Hispanic","$100,000 to $149,999",0.563158231
8520,Never,0,No,No,No,No,Sometimes,Often,Often,No,"I am certain I could not come up with $2,000",Fair,Millennial,High school degree/GED,"White, Non-Hispanic","$75,000 to $99,999",1.862371539
12752,Rarely,I dont know,No,Yes,No,No,Sometimes,Sometimes,Never,No,"I could probably not come up with $2,000",Fair,Millennial,Less than high school,"Black, Non-Hispanic","Less than $20,000",1.203019653
10760,Always,"$20,000-74,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Good,Pre-Boomer,Some college/Associate,"White, Non-Hispanic","$60,000 to $74,999",0.509250504
12235,Often,"$1,000-4,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Millennial,Graduate/professional degree,"White, Non-Hispanic","$100,000 to $149,999",0.677154339
9438,Always,"$5,000-19,999",Yes,Yes,No,No,Sometimes,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Pre-Boomer,Some college/Associate,"White, Non-Hispanic","$100,000 to $149,999",0.636926241
7316,Always,"$5,000-19,999",Yes,No,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Millennial,Some college/Associate,"White, Non-Hispanic","$150,000 or more",2.833482837
12354,Rarely,"$1,000-4,999",Yes,Yes,No,No,Never,Never,Never,No,"I could probably come up with $2,000",Very good,Boomer,High school degree/GED,"White, Non-Hispanic","$100,000 to $149,999",0.802698996
12640,Often,"$5,000-19,999",Yes,No,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Pre-Boomer,High school degree/GED,"White, Non-Hispanic","$30,000 to $39,999",0.599184229
8716,Sometimes,"$5,000-19,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Excellent,Gen X,Graduate/professional degree,"White, Non-Hispanic","$150,000 or more",0.719250277
12299,Always,Prefer not to say,Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Pre-Boomer,Some college/Associate,Hispanic,"$75,000 to $99,999",0.244195493
8311,Always,"$1,000-4,999",Yes,No,No,No,Sometimes,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Millennial,Graduate/professional degree,"White, Non-Hispanic","$150,000 or more",0.694742311
13637,Rarely,$1-99,Yes,No,No,No,Sometimes,Often,Never,No,"I am certain I could not come up with $2,000",Fair,Millennial,Some college/Associate,"Other, Non-Hispanic","Less than $20,000",0.957562964
8951,Often,$1-99,No,Yes,No,No,Never,Never,Never,Yes,"I am certain I could come up with the full $2,000",Excellent,Gen X,Some college/Associate,"Black, Non-Hispanic","Less than $20,000",1.577822506
9185,Rarely,I dont know,No,No,No,No,Sometimes,Sometimes,Never,No,"I could probably not come up with $2,000",Fair,Boomer,High school degree/GED,"White, Non-Hispanic","$30,000 to $39,999",1.146204894
13478,Always,"$20,000-74,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Pre-Boomer,Graduate/professional degree,"White, Non-Hispanic","$75,000 to $99,999",0.207202529
9439,Always,"$5,000-19,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Excellent,Millennial,Bachelors degree,"White, Non-Hispanic","$100,000 to $149,999",0.924148618
9917,Often,"$5,000-19,999",Yes,Yes,No,No,Sometimes,Never,Never,No,"I am certain I could come up with the full $2,000",Fair,Boomer,High school degree/GED,"White, Non-Hispanic","$75,000 to $99,999",0.744676414
8717,Sometimes,"$5,000-19,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Pre-Boomer,High school degree/GED,"White, Non-Hispanic","$60,000 to $74,999",0.60058232
9186,Always,"$5,000-19,999",Yes,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Excellent,Boomer,Graduate/professional degree,"White, Non-Hispanic","$100,000 to $149,999",0.494482491
10761,Always,"$75,000 or more",No,Yes,No,No,Never,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Pre-Boomer,Graduate/professional degree,"White, Non-Hispanic","$30,000 to $39,999",0.531009719
9689,Never,$100-999,No,Yes,No,No,Rarely,Never,Never,Yes,"I could probably come up with $2,000",Fair,Pre-Boomer,Some college/Associate,"White, Non-Hispanic","$60,000 to $74,999",0.467155268
9440,Always,"$20,000-74,999",Yes,Yes,No,No,Rarely,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Millennial,Bachelors degree,"Black, Non-Hispanic","$20,000 to $29,999",1.368720611
8952,Sometimes,"$1,000-4,999",Yes,Yes,No,No,Sometimes,Never,Never,No,"I could probably come up with $2,000",Fair,Pre-Boomer,Less than high school,Hispanic,"$30,000 to $39,999",1.523441014
13656,Always,"$20,000-74,999",Yes,Yes,No,No,Sometimes,Never,Never,No,"I am certain I could come up with the full $2,000",Very good,Millennial,Bachelors degree,"White, Non-Hispanic","$60,000 to $74,999",1.021607882
13367,Sometimes,"$1,000-4,999",Yes,No,No,No,Never,Never,Never,No,"I could probably not come up with $2,000",Good,Millennial,High school degree/GED,"White, Non-Hispanic","$75,000 to $99,999",1.547242254
12935,Sometimes,$100-999,Yes,Yes,No,No,Rarely,Never,Never,No,I dont know,Fair,Boomer,Some college/Associate,"White, Non-Hispanic","$60,000 to $74,999",0.777106432
