New Seriously Delinquent* Balances by Loan Type ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percent,,,,,,,,,Billions of Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*90 or more days delinquent,,,,Source: New York Fed Consumer Credit Panel/Equifax,,,,,*90 or more days delinquent,,,,Source: New York Fed Consumer Credit Panel/Equifax,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return to Table of Contents,,,,,,,,,Return to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AUTO,CC,MORTGAGE,HELOC,STUDENT LOAN,OTHER,ALL,,,AUTO,CC,MORTGAGE,HELOC,STUDENT LOAN,OTHER,ALL,,,,,,,,,,,,,,,,,,,,,,,,
07:Q1,2.34,6.18,1.94,0.98,8.05,3.59,2.49,,07:Q1,5.74,12.74,62.30,1.99,9.49,5.63,97.89,,,,,,,,,,,,,,,,,,,,,,,,
07:Q2,2.36,6.36,2.40,0.99,8.11,3.93,2.85,,07:Q2,4.89,13.40,71.90,1.84,11.02,6.49,109.54,,,,,,,,,,,,,,,,,,,,,,,,
07:Q3,2.34,6.52,2.89,1.45,7.71,4.12,3.24,,07:Q3,6.92,13.76,95.20,3.77,9.93,6.60,136.18,,,,,,,,,,,,,,,,,,,,,,,,
07:Q4,2.44,6.75,3.68,1.82,7.85,4.61,3.89,,07:Q4,7.15,15.64,127.00,3.88,11.11,6.72,171.50,,,,,,,,,,,,,,,,,,,,,,,,
08:Q1,2.71,7.27,4.71,2.41,7.72,5.07,4.75,,08:Q1,7.31,18.82,152.00,5.65,11.19,7.68,202.65,,,,,,,,,,,,,,,,,,,,,,,,
08:Q2,2.85,7.66,5.32,2.98,7.32,5.19,5.26,,08:Q2,6.70,21.40,131.00,5.64,10.67,6.42,181.83,,,,,,,,,,,,,,,,,,,,,,,,
08:Q3,3.15,8.13,6.04,3.35,7.57,6.34,5.91,,08:Q3,8.62,18.02,170.00,7.78,11.23,9.86,225.51,,,,,,,,,,,,,,,,,,,,,,,,
08:Q4,3.29,8.70,6.65,4.15,7.38,7.06,6.47,,08:Q4,8.14,21.37,189.00,10.00,12.75,9.33,250.59,,,,,,,,,,,,,,,,,,,,,,,,
09:Q1,3.36,9.56,7.39,4.74,7.32,7.65,7.12,,09:Q1,7.98,25.19,226.00,10.50,13.39,9.75,292.81,,,,,,,,,,,,,,,,,,,,,,,,
09:Q2,3.48,10.20,8.26,4.98,7.61,8.08,7.85,,09:Q2,6.55,21.23,208.00,8.32,13.52,7.69,265.31,,,,,,,,,,,,,,,,,,,,,,,,
09:Q3,3.34,10.51,8.35,5.05,7.65,7.77,7.93,,09:Q3,7.61,19.82,165.00,8.15,13.92,8.35,222.85,,,,,,,,,,,,,,,,,,,,,,,,
09:Q4,3.24,10.96,8.30,4.54,7.93,7.72,7.90,,09:Q4,7.09,22.98,184.00,6.40,14.54,8.59,243.60,,,,,,,,,,,,,,,,,,,,,,,,
10:Q1,3.10,10.80,7.70,3.96,8.20,7.50,7.41,,10:Q1,6.63,22.39,178.00,6.17,15.15,9.08,237.42,,,,,,,,,,,,,,,,,,,,,,,,
10:Q2,2.85,10.63,6.95,3.78,8.63,7.30,6.85,,10:Q2,4.70,18.30,148.00,6.81,17.10,7.45,202.36,,,,,,,,,,,,,,,,,,,,,,,,
10:Q3,2.55,10.23,6.49,3.26,8.69,6.88,6.43,,10:Q3,4.71,14.60,141.50,5.12,16.58,9.85,192.36,,,,,,,,,,,,,,,,,,,,,,,,
10:Q4,2.31,9.21,5.84,3.12,8.46,6.51,5.84,,10:Q4,7.72,15.62,137.20,5.64,16.18,7.38,189.74,,,,,,,,,,,,,,,,,,,,,,,,
11:Q1,2.03,7.99,5.29,3.00,8.49,5.91,5.34,,11:Q1,4.08,13.06,124.70,5.19,17.07,5.49,169.59,,,,,,,,,,,,,,,,,,,,,,,,
11:Q2,1.86,6.90,4.83,2.70,8.60,5.61,4.91,,11:Q2,3.62,10.77,93.30,4.29,17.78,7.42,137.18,,,,,,,,,,,,,,,,,,,,,,,,
11:Q3,1.81,6.26,4.64,2.97,8.87,5.11,4.77,,11:Q3,4.59,10.57,109.60,6.68,18.00,9.08,158.52,,,,,,,,,,,,,,,,,,,,,,,,
11:Q4,1.69,5.87,4.58,3.06,9.31,4.64,4.72,,11:Q4,3.80,12.72,111.54,5.41,20.41,5.33,159.21,,,,,,,,,,,,,,,,,,,,,,,,
12:Q1,1.63,5.41,4.41,2.77,9.39,4.37,4.55,,12:Q1,3.54,9.52,103.51,4.40,20.50,4.07,145.54,,,,,,,,,,,,,,,,,,,,,,,,
12:Q2,1.60,5.19,4.18,2.70,9.84,4.06,4.41,,12:Q2,2.87,9.84,82.27,3.98,24.92,5.05,128.93,,,,,,,,,,,,,,,,,,,,,,,,
12:Q3,1.52,4.85,3.88,2.40,10.31,3.98,4.19,,12:Q3,4.26,8.42,80.88,3.78,30.35,4.58,132.27,,,,,,,,,,,,,,,,,,,,,,,,
12:Q4,1.52,4.51,3.48,1.87,10.28,3.89,3.86,,12:Q4,4.29,10.83,90.80,1.97,28.61,5.26,141.76,,,,,,,,,,,,,,,,,,,,,,,,
13:Q1,1.57,4.41,3.18,1.81,10.54,3.99,3.67,,13:Q1,4.01,7.85,78.16,2.59,21.49,4.52,118.62,,,,,,,,,,,,,,,,,,,,,,,,
13:Q2,1.63,4.28,2.99,1.65,9.95,4.03,3.49,,13:Q2,3.43,8.44,67.27,2.70,23.90,3.74,109.48,,,,,,,,,,,,,,,,,,,,,,,,
13:Q3,1.63,4.03,2.74,1.48,9.78,3.91,3.28,,13:Q3,4.06,6.34,66.50,3.75,28.51,3.75,112.91,,,,,,,,,,,,,,,,,,,,,,,,
13:Q4,1.58,3.91,2.54,1.51,10.21,3.93,3.17,,13:Q4,4.25,9.04,74.95,2.08,26.87,4.47,121.66,,,,,,,,,,,,,,,,,,,,,,,,
14:Q1,1.56,3.87,2.33,1.73,10.21,3.82,3.03,,14:Q1,3.98,7.57,64.30,4.23,24.36,3.52,107.96,,,,,,,,,,,,,,,,,,,,,,,,
14:Q2,1.61,3.74,2.11,1.62,10.33,3.81,2.89,,14:Q2,4.38,6.88,52.36,2.35,24.84,3.38,94.19,,,,,,,,,,,,,,,,,,,,,,,,
14:Q3,1.73,3.85,1.94,1.58,10.24,3.85,2.79,,14:Q3,5.18,7.04,49.33,2.57,24.96,3.53,92.61,,,,,,,,,,,,,,,,,,,,,,,,
14:Q4,1.88,3.92,1.81,1.51,10.13,3.82,2.71,,14:Q4,7.97,8.85,52.61,1.63,29.48,4.78,105.32,,,,,,,,,,,,,,,,,,,,,,,,
15:Q1,1.96,3.76,1.70,1.22,10.12,3.96,2.63,,15:Q1,5.68,13.62,47.85,2.09,25.81,4.58,99.63,,,,,,,,,,,,,,,,,,,,,,,,
15:Q2,2.00,3.80,1.65,1.19,10.27,4.04,2.62,,15:Q2,6.76,9.36,33.76,4.42,27.90,3.89,86.09,,,,,,,,,,,,,,,,,,,,,,,,
15:Q3,2.04,3.85,1.63,0.99,10.18,4.04,2.60,,15:Q3,6.18,7.15,42.78,1.13,27.97,4.52,89.73,,,,,,,,,,,,,,,,,,,,,,,,
15:Q4,2.09,3.72,1.55,0.97,10.04,4.03,2.54,,15:Q4,6.91,7.24,44.72,1.43,29.41,4.59,94.30,,,,,,,,,,,,,,,,,,,,,,,,
16:Q1,2.18,3.69,1.49,0.94,9.72,4.06,2.48,,16:Q1,6.88,6.52,40.21,1.61,25.57,7.50,88.29,,,,,,,,,,,,,,,,,,,,,,,,
16:Q2,2.18,3.51,1.41,0.96,9.43,4.01,2.39,,16:Q2,6.26,5.79,30.57,1.39,26.89,3.84,74.74,,,,,,,,,,,,,,,,,,,,,,,,
16:Q3,2.21,3.51,1.29,1.02,9.53,4.16,2.33,,16:Q3,7.54,7.74,33.12,1.71,28.52,4.44,83.07,,,,,,,,,,,,,,,,,,,,,,,,
16:Q4,2.25,3.71,1.29,1.13,9.42,4.40,2.36,,16:Q4,8.24,9.10,38.15,2.23,30.99,5.45,94.16,,,,,,,,,,,,,,,,,,,,,,,,
17:Q1,2.30,4.08,1.24,0.97,9.64,4.46,2.38,,17:Q1,8.27,9.66,39.16,1.14,28.86,5.04,92.13,,,,,,,,,,,,,,,,,,,,,,,,
17:Q2,2.31,4.42,1.24,0.87,9.73,4.65,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:Q3,2.36,4.60,1.24,0.92,9.64,4.66,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:Q4,2.33,4.64,1.14,0.90,9.29,4.59,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:Q1,2.29,4.72,1.13,0.99,8.89,4.63,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:Q2,2.34,4.76,1.18,1.14,8.59,4.75,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:Q3,2.30,4.80,1.18,0.99,9.07,4.88,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:Q4,2.36,4.99,1.19,0.81,8.94,4.89,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:Q1,2.36,5.04,1.10,0.85,9.38,4.88,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:Q2,2.34,5.17,1.04,0.72,9.89,4.77,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:Q3,2.34,5.16,0.99,0.83,9.26,4.67,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
